ID,Name,Type,Status,Has_Member
View-604,Deprecated Entries,Implicit,Draft,
View-629,Weaknesses in OWASP Top Ten (2007),Graph,Obsolete,CWE-712;CWE-713;CWE-714;CWE-715;CWE-716;CWE-717;CWE-718;CWE-719;CWE-720;CWE-721
View-635,Weaknesses Originally Used by NVD from 2008 to 2016,Explicit,Obsolete,CWE-16;CWE-189;CWE-255;CWE-264;CWE-310;CWE-399;CWE-119;CWE-134;CWE-20;CWE-200;CWE-22;CWE-287;CWE-362;CWE-59;CWE-78;CWE-79;CWE-89;CWE-94;CWE-352
View-658,Weaknesses in Software Written in C,Implicit,Draft,
View-659,Weaknesses in Software Written in C++,Implicit,Draft,
View-660,Weaknesses in Software Written in Java,Implicit,Draft,
View-661,Weaknesses in Software Written in PHP,Implicit,Draft,
View-677,Weakness Base Elements,Implicit,Draft,
View-678,Composites,Implicit,Draft,
View-699,Software Development,Graph,Draft,CWE-1228;CWE-1210;CWE-1211;CWE-1212;CWE-1006;CWE-438;CWE-840;CWE-417;CWE-1226;CWE-557;CWE-255;CWE-310;CWE-320;CWE-1214;CWE-19;CWE-137;CWE-1225;CWE-1219;CWE-1227;CWE-389;CWE-569;CWE-429;CWE-199;CWE-452;CWE-1215;CWE-1216;CWE-1218;CWE-189;CWE-275;CWE-465;CWE-265;CWE-1213;CWE-411;CWE-399;CWE-387;CWE-371;CWE-133;CWE-136;CWE-355;CWE-1217
View-700,Seven Pernicious Kingdoms,Graph,Incomplete,CWE-254;CWE-361;CWE-388;CWE-1005;CWE-227;CWE-398;CWE-485;CWE-2
View-701,Weaknesses Introduced During Design,Implicit,Incomplete,
View-702,Weaknesses Introduced During Implementation,Implicit,Incomplete,
View-709,Named Chains,Implicit,Incomplete,
View-711,Weaknesses in OWASP Top Ten (2004),Graph,Obsolete,CWE-722;CWE-723;CWE-724;CWE-725;CWE-726;CWE-727;CWE-728;CWE-729;CWE-730;CWE-731
